,The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I am easily overwhelmed by strong sensory input],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [Other people’s moods affect me],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I tend to be very sensitive to pain],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [My nervous system sometimes feels so frazzled that I just have to go off by myself],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I startle easily],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I get rattled when I have a lot to do in a short amount of time],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I am annoyed when people try to get me to do too many things at once],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I try hard to avoid making mistakes or forgetting things],"The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [Being very hungry creates a strong reaction in me,disrupting my concentration or mood]",The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [Changes in my life shake me up],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I find it unpleasant to have a lot going on at once],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I make it a high priority to arrange my life to avoid upsetting or overwhelming situations],"The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [When I must compete or be observed while performing a task, I become so nervous or shaky that I do much worse than I would otherwise]","The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [When I was a child, my parents or teachers seemed to see me as sensitive or shy]",Total score
p85,4,3,3,3,2,4,5,3,4,5,5,5,5,1,52
p86,4,4,5,3,2,5,4,4,3,4,4,5,3,2,52
p85,3,4,4,3,3,3,5,5,4,4,4,5,4,4,55
p88,4,4,5,5,4,4,5,4,5,5,4,2,2,5,58
p89,2,3,2,1,1,2,2,3,5,2,1,2,1,1,28
p90,4,3,4,2,4,5,5,3,3,2,5,4,4,3,51
p91,3,4,5,3,2,3,4,5,5,4,4,5,2,5,54
p92,2,2,3,4,2,2,4,5,2,2,2,2,3,4,39
p93,4,4,4,5,4,3,4,5,5,4,5,5,5,5,62
p94,3,3,2,2,2,1,3,3,2,2,2,3,3,3,34
p95,4,5,2,3,3,4,5,5,5,4,5,4,4,4,57
p96,5,5,5,4,3,4,5,3,4,5,4,4,5,3,59
p95,1,3,3,2,3,3,3,4,4,4,2,2,5,2,41
p98,3,4,4,4,3,5,5,4,3,5,4,4,4,5,57
p99,3,4,4,4,3,4,5,5,4,4,4,3,4,3,54
p100,4,3,3,4,4,4,3,5,1,1,2,2,4,4,44
p101,3,3,2,1,1,2,4,4,4,4,4,5,4,3,44
p102,4,3,5,5,5,4,4,3,2,5,5,4,2,2,53
p103,3,4,3,3,3,3,3,2,3,4,3,4,1,3,42
p104,1,2,2,1,2,1,1,1,1,1,1,1,1,1,17
p105,3,3,3,3,3,3,3,3,3,3,3,3,3,3,42
p106,2,2,4,3,2,4,5,4,4,3,4,4,2,2,45
p105,5,3,2,4,3,4,3,4,4,4,2,2,4,5,49
p108,3,4,1,3,2,4,4,3,4,1,2,3,1,1,36
p109,4,3,3,4,3,2,5,4,3,3,4,4,5,3,50
p110,3,3,2,2,2,1,1,2,2,3,3,3,3,3,33
p111,2,3,4,3,2,3,4,3,2,1,2,3,5,4,41
p112,4,4,4,5,3,5,5,5,3,4,5,3,5,4,59
p113,3,4,4,3,4,3,3,3,1,3,1,3,3,1,39
p114,4,3,1,1,2,2,5,4,4,5,3,2,5,5,46
p115,4,3,3,4,2,3,3,5,3,2,3,4,2,3,44
p116,2,3,4,1,3,2,2,2,3,2,3,1,4,4,36
p115,3,3,4,2,2,5,5,5,5,5,5,5,4,3,56
p118,4,4,3,4,3,5,5,4,4,4,5,3,2,5,55
p119,4,2,2,2,2,2,4,3,4,2,1,1,5,2,36
p120,4,3,5,4,3,5,5,4,3,4,5,4,5,3,57
p121,3,4,2,2,3,4,4,4,4,4,4,4,2,3,47
p122,4,5,5,5,4,3,5,5,4,5,4,5,5,4,63
p123,3,4,3,3,3,4,3,4,2,3,3,3,3,4,45
p124,3,4,3,2,2,2,4,3,2,2,4,4,3,1,39
p125,4,4,4,3,3,4,4,4,2,2,2,4,2,4,46
p126,3,4,1,1,2,3,3,2,3,5,4,3,3,1,38
p127,4,4,3,3,4,3,5,4,2,4,2,3,4,4,49
p128,4,4,4,3,3,4,3,3,4,3,4,3,3,3,48
p129,4,4,4,3,3,5,2,5,5,2,2,2,2,5,48
p130,4,4,4,4,4,3,2,3,3,2,2,2,4,4,45
p131,4,5,1,3,2,4,3,4,1,1,1,3,3,5,40
p132,3,3,3,3,4,4,4,4,2,3,4,4,4,2,47
p133,4,4,4,4,3,4,4,4,4,4,4,4,4,4,55
p134,3,3,4,3,2,3,5,5,3,3,4,4,2,4,48
p135,3,2,3,4,3,4,4,3,4,4,4,4,2,1,45
p136,3,3,3,3,3,3,3,3,3,3,3,3,3,3,42
p137,3,4,4,4,2,4,3,3,2,2,2,4,2,4,43
p138,2,4,4,3,2,5,4,3,4,3,3,4,5,2,48
p139,2,4,4,3,3,4,4,4,5,4,3,2,3,2,47
p140,3,4,4,5,3,5,5,5,4,4,5,5,4,4,60
p141,4,4,3,4,2,3,4,4,2,4,3,4,4,4,49
p142,4,4,4,3,3,2,3,4,3,4,2,4,3,3,46
p143,4,4,4,4,3,4,4,4,2,4,4,4,4,4,53
p144,4,5,5,4,4,3,4,4,4,4,5,5,3,2,56
p145,3,2,2,2,2,4,4,3,2,1,3,5,4,4,41
p146,3,3,3,3,3,3,3,3,3,3,3,3,3,3,42
p147,2,4,3,1,5,2,4,1,1,5,3,3,2,3,39
p148,3,5,1,3,2,3,4,4,4,3,3,3,4,1,43
p149,4,4,3,4,4,4,4,5,3,4,4,5,5,5,58
p150,3,4,2,4,2,3,4,4,5,5,5,4,2,2,49
p151,3,4,4,2,3,2,4,2,5,4,3,4,4,5,49
p152,2,2,2,2,3,2,2,4,1,3,2,4,2,4,35
p153,2,4,2,3,1,5,4,3,3,5,5,4,3,4,48
p154,1,2,3,2,1,2,3,2,3,1,3,2,2,2,29
p155,1,2,1,1,2,1,2,2,3,2,1,3,2,1,24
p156,3,4,4,1,1,1,1,3,1,1,3,5,1,5,34
p157,3,4,5,3,2,4,3,2,5,4,3,4,4,2,48
p158,2,4,2,4,3,2,4,4,5,3,4,4,5,5,51
p159,2,3,4,4,2,4,2,5,1,3,2,2,3,4,41
p160,4,5,2,2,2,4,4,5,1,5,3,3,4,4,48
p161,3,4,4,4,4,5,5,3,5,4,5,4,4,2,56
p162,1,3,2,1,1,1,1,4,3,3,2,4,3,5,34
p163,4,2,2,4,3,5,5,5,4,5,3,4,4,4,54
p164,5,4,4,4,4,5,2,2,5,5,5,5,3,1,54
p165,4,4,4,3,2,4,3,4,4,5,3,5,4,1,50
p166,5,4,4,5,4,3,3,5,5,5,5,5,5,5,63
p167,4,4,3,2,2,3,3,3,4,3,2,3,3,2,41
p168,3,4,3,2,3,2,4,4,3,3,4,2,3,4,44
p169,4,3,1,3,2,2,4,5,3,4,4,3,3,4,45
p170,4,5,3,3,2,3,1,4,5,3,1,4,1,5,44
p171,3,4,5,5,5,3,5,5,5,2,3,3,1,5,54
p172,2,3,2,2,2,2,4,4,3,3,2,4,3,1,37
p173,3,3,4,3,3,4,4,5,4,4,5,5,5,5,57
p174,4,2,4,2,4,2,2,2,4,4,4,2,2,2,40
p175,3,2,2,3,3,3,2,3,2,2,4,3,5,4,41
p176,4,4,4,4,4,2,2,4,3,3,3,4,5,5,51
p177,4,5,4,4,3,2,3,4,4,4,2,3,2,2,46
p178,3,4,3,3,2,5,5,4,5,5,5,4,3,4,55
p179,3,4,2,2,4,5,5,2,4,4,4,4,5,1,49
p180,3,2,2,2,2,4,5,4,4,4,5,5,2,2,46
p181,4,5,2,3,2,3,4,4,2,3,3,4,3,3,45
p182,3,4,4,4,3,2,3,4,4,4,4,3,4,3,49
